*********************************************************
CAN通信数据记录
CAN1波特率：500Kbps
CAN2波特率：1Mbps
日期：2018年07月09日
时间：17:48:05
*********************************************************

序列       通道号     时间标识     传输方向   帧ID(Hex)     帧类型      帧格式     数据长度  数据(Hex)
000000        0     019009690.8       接收     00000201      标准帧      数据帧        08     40 19 00 00 10 F4 00 00      
000001        0     019009691.1       接收     00000402      标准帧      数据帧        08     28 4E 4A 0B 65 95 C1 10      
000002        0     019009691.2       接收     00000408      标准帧      数据帧        04     12 00 42 87      
000003        0     019009691.5       接收     0000060B      标准帧      数据帧        08     07 4E 3C 05 80 20 01 7F      
000004        0     019009691.7       接收     0000060C      标准帧      数据帧        07     03 8C A5 3A 02 20 C8      
000005        0     019009691.9       接收     0000060B      标准帧      数据帧        08     09 4E A3 E7 80 20 41 8F      
000006        0     019009692.1       接收     0000060C      标准帧      数据帧        07     06 9D 27 5A 82 20 E8      
000007        0     019009692.4       接收     0000060B      标准帧      数据帧        08     02 4F 63 F5 80 20 01 76      
000008        0     019009692.6       接收     0000060C      标准帧      数据帧        07     0E 9D 29 7C 02 20 C8      
000009        0     019009692.8       接收     0000060B      标准帧      数据帧        08     00 4F E3 FD 80 1F E1 83      
000010        0     019009693.0       接收     0000060C      标准帧      数据帧        07     0F 94 E5 4A 82 20 C8      
000011        0     019009693.3       接收     0000060B      标准帧      数据帧        08     04 4F EC 06 80 1F C1 86      
000012        0     019009693.5       接收     0000060C      标准帧      数据帧        07     05 94 E7 5B 02 20 E8      
000013        0     019009693.7       接收     0000060B      标准帧      数据帧        08     13 4F A4 27 80 20 01 7F      
000014        0     019009694.0       接收     0000060C      标准帧      数据帧        07     0C 94 E5 4A 02 20 E8      
000015        0     019009694.2       接收     0000060B      标准帧      数据帧        08     01 4F EC 29 80 20 01 80      
000016        0     019009694.4       接收     0000060C      标准帧      数据帧        07     10 9D 27 6A 82 20 CC      
000017        0     019009694.6       接收     0000060B      标准帧      数据帧        08     0B 4F 84 3C 80 5F 81 8B      
000018        0     019009694.9       接收     0000060C      标准帧      数据帧        07     08 8C E5 3A 82 20 CC      
000019        0     019009695.1       接收     0000060B      标准帧      数据帧        08     03 50 AC 0F 80 20 01 76      
000020        0     019009695.3       接收     0000060C      标准帧      数据帧        07     0A 94 E7 3A 82 20 CC      
000021        0     019009695.6       接收     0000060B      标准帧      数据帧        08     06 50 E4 18 80 1F C1 7C      
000022        0     019009695.8       接收     0000060D      标准帧      数据帧        08     07 7F AF A6 70 80 19 0B      
000023        0     019009696.0       接收     0000060B      标准帧      数据帧        08     0E 51 0C 11 80 60 81 78      
000024        0     019009696.3       接收     0000060D      标准帧      数据帧        08     09 84 EF A0 70 80 05 05      
000025        0     019009696.5       接收     0000060B      标准帧      数据帧        08     0F 51 54 1E 80 1F 41 7C      
000026        0     019009696.7       接收     0000060D      标准帧      数据帧        08     02 7E 6F A0 70 80 05 05      
000027        0     019009697.0       接收     0000060B      标准帧      数据帧        08     05 51 3C 28 80 1F 81 8B      
000028        0     019009697.2       接收     0000060D      标准帧      数据帧        08     00 7D EF A0 70 80 05 05      
000029        0     019009697.5       接收     0000060B      标准帧      数据帧        08     0C 51 84 32 80 20 01 8C      
000030        0     019009697.7       接收     0000060D      标准帧      数据帧        08     04 84 8F A0 70 80 05 05      
000031        0     019009697.9       接收     0000060B      标准帧      数据帧        08     10 51 AC 27 80 1F 81 85      
000032        0     019009698.2       接收     0000060D      标准帧      数据帧        08     13 7D CF A0 70 80 05 05      
000033        0     019009698.4       接收     0000060B      标准帧      数据帧        08     08 51 64 45 80 20 01 88      
000034        0     019009698.6       接收     0000060D      标准帧      数据帧        08     01 7D 8F A0 70 80 05 05      
000035        0     019009698.9       接收     0000060B      标准帧      数据帧        08     0A 52 2C 41 80 20 01 7A      
000036        0     019009699.1       接收     0000060D      标准帧      数据帧        08     0B 90 8F A0 70 80 05 05      
000037        0     019009699.3       接收     0000060C      标准帧      数据帧        07     07 84 63 3A 02 20 E8      
000038        0     019009699.6       接收     0000060D      标准帧      数据帧        08     03 7E 2F A0 70 80 05 05      
000039        0     019009699.8       接收     0000060C      标准帧      数据帧        07     09 9D 2B 7C 02 20 A8      
000040        0     019009700.0       接收     0000060D      标准帧      数据帧        08     06 7C EF A0 70 80 05 05      
000041        0     019009700.3       接收     0000060C      标准帧      数据帧        07     02 8C A5 3A 02 20 E8      
000042        0     019009700.5       接收     0000060D      标准帧      数据帧        08     0E 8D 6F A0 70 80 05 05      
000043        0     019009700.7       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 02 20 CC      
000044        0     019009700.9       接收     0000060D      标准帧      数据帧        08     0F 7C EF A0 70 80 05 05      
000045        0     019009701.2       接收     0000060C      标准帧      数据帧        07     04 9D 27 5B 02 20 E8      
000046        0     019009701.4       接收     0000060D      标准帧      数据帧        08     05 80 8F A0 70 80 05 05      
000047        0     019009701.6       接收     0000060C      标准帧      数据帧        07     13 9C E7 3A 82 20 E8      
000048        0     019009701.9       接收     0000060D      标准帧      数据帧        08     0C 7E 2F A0 70 80 05 05      
000049        0     019009702.1       接收     0000060C      标准帧      数据帧        07     01 8C A5 3A 82 20 CC      
000050        0     019009702.3       接收     0000060D      标准帧      数据帧        08     10 7F 6F A0 70 80 05 05      
000051        0     019009702.5       接收     0000060C      标准帧      数据帧        07     0B A5 6F 7D 02 20 6C      
000052        0     019009702.8       接收     0000060D      标准帧      数据帧        08     08 7E 0F A0 70 80 05 05      
000053        0     019009703.0       接收     0000060C      标准帧      数据帧        07     03 8C A5 3A 02 20 E8      
000054        0     019009703.2       接收     0000060D      标准帧      数据帧        08     0A 7E 4F A0 70 80 05 05      
000055        0     019009703.4       接收     0000060C      标准帧      数据帧        07     06 9D 27 5A 82 20 E8      
000056        0     019009703.6       接收     0000060E      标准帧      数据帧        04     07 00 00 00      
000057        0     019009703.8       接收     0000060C      标准帧      数据帧        07     0E 9D 29 7C 02 20 C8      
000058        0     019009704.0       接收     0000060E      标准帧      数据帧        04     09 02 00 00      
000059        0     019009704.2       接收     0000060C      标准帧      数据帧        07     0F 94 E5 4A 82 20 C8      
000060        0     019009704.4       接收     0000060E      标准帧      数据帧        04     02 03 00 00      
000061        0     019009704.6       接收     0000060C      标准帧      数据帧        07     05 94 E7 5B 02 20 E8      
000062        0     019009704.8       接收     0000060E      标准帧      数据帧        04     00 03 00 00      
000063        0     019009705.0       接收     0000060C      标准帧      数据帧        07     0C 94 E5 4A 02 20 E8      
000064        0     019009705.2       接收     0000060E      标准帧      数据帧        04     04 03 00 00      
000065        0     019009705.4       接收     0000060C      标准帧      数据帧        07     10 9D 27 6A 82 20 CC      
000066        0     019009705.6       接收     0000060E      标准帧      数据帧        04     13 00 00 00      
000067        0     019009705.8       接收     0000060C      标准帧      数据帧        07     08 8C E5 3A 82 20 CC      
000068        0     019009706.0       接收     0000060E      标准帧      数据帧        04     01 03 00 00      
000069        0     019009706.2       接收     0000060C      标准帧      数据帧        07     0A 94 E7 3A 82 20 CC      
000070        0     019009706.3       接收     0000060E      标准帧      数据帧        04     0B 02 00 00      
000071        0     019009706.6       接收     0000060D      标准帧      数据帧        08     07 7F AF A6 70 80 19 0B      
000072        0     019009706.8       接收     0000060E      标准帧      数据帧        04     03 03 00 00      
000073        0     019009707.0       接收     0000060D      标准帧      数据帧        08     09 84 EF A0 70 80 05 05      
000074        0     019009707.2       接收     0000060E      标准帧      数据帧        04     06 02 00 00      
000075        0     019009707.4       接收     0000060D      标准帧      数据帧        08     02 7E 6F A0 70 80 05 05      
000076        0     019009707.6       接收     0000060E      标准帧      数据帧        04     0E 02 00 00      
000077        0     019009707.8       接收     00000700      标准帧      数据帧        04     04 1E 01 00      
000078        0     019009710.6       接收     0000060A      标准帧      数据帧        04     11 42 8F 10      
000079        0     019009710.8       接收     0000060B      标准帧      数据帧        08     07 4E 3C 05 80 20 01 80      
000080        0     019009711.1       接收     0000060B      标准帧      数据帧        08     09 4E A3 E8 80 20 81 91      
000081        0     019009711.3       接收     0000060B      标准帧      数据帧        08     02 4F 63 F5 80 20 01 78      
000082        0     019009711.6       接收     0000060B      标准帧      数据帧        08     00 4F E3 FD 80 1F E1 83      
000083        0     019009711.8       接收     0000060B      标准帧      数据帧        08     04 4F EC 06 80 1F E1 86      
000084        0     019009712.1       接收     0000060B      标准帧      数据帧        08     13 4F A4 27 80 20 01 7F      
000085        0     019009712.4       接收     0000060B      标准帧      数据帧        08     01 4F EC 29 80 20 01 81      
