*********************************************************
CAN通信数据记录
CAN1波特率：500Kbps
CAN2波特率：1Mbps
日期：2018年07月04日
时间：10:19:54
*********************************************************

序列       通道号     时间标识     传输方向   帧ID(Hex)     帧类型      帧格式     数据长度  数据(Hex)
000000        0     000055503.0       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7E      
000001        0     000055503.3       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000002        0     000055503.5       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 8A      
000003        0     000055503.8       接收     0000060B      标准帧      数据帧        08     03 4F 24 00 80 20 01 7E      
000004        0     000055504.0       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000005        0     000055504.3       接收     0000060C      标准帧      数据帧        07     03 84 61 3A 02 20 E8      
000006        0     000055504.6       接收     0000060D      标准帧      数据帧        08     02 7D 2F A1 70 80 0A 0C      
000007        0     000055504.8       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000008        0     000055516.9       接收     0000060A      标准帧      数据帧        04     03 00 CB 10      
000009        0     000055517.1       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000010        0     000055517.4       接收     0000060B      标准帧      数据帧        08     02 4E BC 00 80 20 01 8A      
000011        0     000055517.6       接收     0000060B      标准帧      数据帧        08     03 4F 24 00 80 20 01 7E      
000012        0     000055517.9       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000013        0     000055518.1       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000014        0     000055518.4       接收     0000060C      标准帧      数据帧        07     03 84 61 3A 02 20 E8      
000015        0     000055518.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000016        0     000055518.9       接收     0000060D      标准帧      数据帧        08     02 7D 2F A1 70 80 0A 0C      
000017        0     000055519.2       接收     0000060D      标准帧      数据帧        08     03 7D 2F A1 70 80 0D 0C      
000018        0     000055586.9       接收     0000060A      标准帧      数据帧        04     03 00 CD 10      
000019        0     000055587.1       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000020        0     000055587.4       接收     0000060B      标准帧      数据帧        08     02 4E BC 00 80 20 01 8A      
000021        0     000055587.6       接收     0000060B      标准帧      数据帧        08     03 4F 24 00 80 20 01 7E      
000022        0     000055587.9       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000023        0     000055588.1       接收     0000060C      标准帧      数据帧        07     02 84 A3 3A 02 20 E8      
000024        0     000055588.4       接收     0000060C      标准帧      数据帧        07     03 84 61 3A 02 20 E8      
000025        0     000055588.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000026        0     000055588.9       接收     0000060D      标准帧      数据帧        08     02 7D 2F A1 70 80 0A 0C      
000027        0     000055589.2       接收     0000060D      标准帧      数据帧        08     03 7D 2F A1 70 80 0D 0C      
000028        0     000055661.9       接收     0000060A      标准帧      数据帧        04     03 00 CF 10      
000029        0     000055662.1       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000030        0     000055662.4       接收     0000060B      标准帧      数据帧        08     02 4E BC 00 80 20 01 89      
000031        0     000055662.6       接收     0000060B      标准帧      数据帧        08     03 4F 24 00 80 20 01 7E      
000032        0     000055662.9       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000033        0     000055663.1       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000034        0     000055663.4       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000035        0     000055663.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000036        0     000055663.9       接收     0000060D      标准帧      数据帧        08     02 7D 2F A1 70 80 0A 0C      
000037        0     000055664.2       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
